Title,Body,Labels,Milestone,Status,Priority,Size,Area
"[EPIC] Foundation and app skeleton","Goal: Establish the desktop app foundation and repository standards.\n\nScope:\n- Choose desktop shell (Electron or Tauri) and lock architecture decision.\n- Create React + TypeScript app scaffold.\n- Establish CI with lint/typecheck/test jobs.\n- Add contributor docs and templates.\n\nDone when:\n- App boots locally.\n- CI is green on default branch.\n- README and CONTRIBUTING cover setup and contribution workflow.","epic,area:foundation,priority:P0,size:L","M1 Foundation","Backlog","P0","L","foundation"
"Set up desktop app scaffold (React + TypeScript + desktop shell)","Create the first runnable app scaffold.\n\nTasks:\n- Add workspace structure for UI and desktop runtime.\n- Define shared config for linting, formatting, and tsconfig.\n- Add scripts for dev/build/test.\n\nAcceptance criteria:\n- `npm run dev` starts desktop app shell.\n- Typecheck and lint pass.","feature,area:foundation,priority:P0,size:M","M1 Foundation","Backlog","P0","M","foundation"
"Implement secure Cloudflare token storage","Add credential storage using OS keychain and avoid plaintext secrets.\n\nTasks:\n- Persist API token via keychain integration.\n- Mask token in UI logs.\n- Add token validation call and error UX.\n\nAcceptance criteria:\n- Token is not stored in repo or plain config files.\n- Invalid token shows actionable error.","feature,area:foundation,priority:P0,size:M","M1 Foundation","Backlog","P0","M","foundation"
"Build D1 database list view","Create initial screen to list accessible D1 databases.\n\nTasks:\n- Fetch D1 database list via Cloudflare API wrapper.\n- Add search/filter.\n- Add empty/error states.\n\nAcceptance criteria:\n- User can see and select any accessible D1 database.","feature,area:foundation,priority:P0,size:M","M1 Foundation","Backlog","P0","M","foundation"
"Add repository standards and OSS docs","Set up OSS-facing docs and templates.\n\nTasks:\n- Add CODE_OF_CONDUCT, CONTRIBUTING, issue templates, PR template.\n- Add architecture doc and roadmap section.\n\nAcceptance criteria:\n- New contributors can clone, run, and open PRs from docs alone.","chore,area:docs,priority:P1,size:S","M1 Foundation","Backlog","P1","S","docs"
"[EPIC] D1 explorer and SQL tooling","Goal: Let users inspect schema/data and run SQL safely.\n\nScope:\n- Table/schema explorer.\n- Paginated row viewer.\n- SQL editor with result grid and history.\n- Guardrails for destructive actions.\n\nDone when:\n- User can query and update data from the app with clear feedback.","epic,area:explorer,priority:P0,size:L","M2 Explorer & SQL","Backlog","P0","L","explorer"
"Implement schema explorer (tables, columns, indexes)","Build a schema tree for selected database.\n\nTasks:\n- Fetch metadata and render table details.\n- Show column types, PK/FK, and indexes.\n\nAcceptance criteria:\n- Explorer updates when selected DB changes.\n- Errors handled without crashing.","feature,area:explorer,priority:P0,size:M","M2 Explorer & SQL","Backlog","P0","M","explorer"
"Build paginated table data viewer","Render table rows with pagination and column-aware formatting.\n\nTasks:\n- Add row fetch endpoint wrapper with limit/offset.\n- Add pagination controls and row count display.\n\nAcceptance criteria:\n- Large tables remain responsive.\n- Pagination state survives navigation within a DB.","feature,area:explorer,priority:P1,size:M","M2 Explorer & SQL","Backlog","P1","M","explorer"
"Create SQL editor with execution runner","Provide SQL input area and execution controls.\n\nTasks:\n- Execute queries/statements.\n- Show execution time, affected rows, and errors.\n- Add keyboard shortcut for run.\n\nAcceptance criteria:\n- Valid SQL returns result data.\n- Invalid SQL returns readable error details.","feature,area:sql,priority:P0,size:M","M2 Explorer & SQL","Backlog","P0","M","sql"
"Add query history and saved snippets","Track query history per database and allow snippet reuse.\n\nTasks:\n- Persist query history locally.\n- Add clear history and favorite snippet actions.\n\nAcceptance criteria:\n- History is scoped by DB and ordered newest-first.","feature,area:sql,priority:P1,size:S","M2 Explorer & SQL","Backlog","P1","S","sql"
"Add destructive-query safety guardrails","Prevent accidental data loss.\n\nTasks:\n- Detect destructive statements (DROP, DELETE without WHERE, etc.).\n- Add confirm modal and optional read-only mode.\n\nAcceptance criteria:\n- Destructive action requires explicit confirmation.","feature,area:sql,priority:P0,size:S","M2 Explorer & SQL","Backlog","P0","S","sql"
"[EPIC] SQLite import engine","Goal: Import local SQLite databases into D1 reliably.\n\nScope:\n- File selection and validation.\n- Schema translation and compatibility checks.\n- Batched data migration with retry/reporting.\n\nDone when:\n- Typical SQLite datasets import with clear progress and recovery guidance.","epic,area:import,priority:P0,size:L","M3 Import","Backlog","P0","L","import"
"Build SQLite file ingestion flow","Add file picker and preflight checks.\n\nTasks:\n- Support `.sqlite` and `.db`.\n- Validate readable file and detect schema entities.\n\nAcceptance criteria:\n- Invalid file types are rejected with guidance.","feature,area:import,priority:P0,size:M","M3 Import","Backlog","P0","M","import"
"Implement schema migration translation (SQLite -> D1)","Translate schema safely and report incompatibilities.\n\nTasks:\n- Parse tables/indexes/constraints.\n- Identify unsupported syntax and propose rewrites.\n\nAcceptance criteria:\n- Dry run report lists required changes before execution.","feature,area:import,priority:P0,size:L","M3 Import","Backlog","P0","L","import"
"Implement batched data import with retries","Move rows in batches with backoff and resumability.\n\nTasks:\n- Chunk inserts.\n- Add retry logic and error aggregation.\n- Add rollback/continue options when possible.\n\nAcceptance criteria:\n- Import progress UI updates continuously.\n- Partial failures are clearly reported.","feature,area:import,priority:P0,size:L","M3 Import","Backlog","P0","L","import"
"Design import progress and validation UX","Provide visibility and confidence during migration.\n\nTasks:\n- Show staged progress: preflight, schema, data, validation.\n- Show summary with counts and mismatches.\n\nAcceptance criteria:\n- User sees pass/fail status and next steps.","feature,area:import,priority:P1,size:M","M3 Import","Backlog","P1","M","import"
"[EPIC] Metrics and settings","Goal: Expose D1 operational data and configuration controls.\n\nScope:\n- Usage and storage metrics.\n- Limits and quota views.\n- Settings panel and refresh controls.\n\nDone when:\n- User can inspect key health and config signals without leaving app.","epic,area:metrics,priority:P1,size:M","M4 Metrics & Settings","Backlog","P1","M","metrics"
"Add storage and usage metrics dashboard","Render usage, storage, and request metrics from D1 APIs.\n\nTasks:\n- Define polling/refresh strategy.\n- Add simple charts/cards.\n\nAcceptance criteria:\n- Metrics update reliably and handle API errors gracefully.","feature,area:metrics,priority:P1,size:M","M4 Metrics & Settings","Backlog","P1","M","metrics"
"Build database settings panel","Display and edit supported DB-level settings.\n\nTasks:\n- Fetch settings details.\n- Add edit and save flow with validation.\n\nAcceptance criteria:\n- Supported settings can be modified from app with confirmation.","feature,area:metrics,priority:P1,size:M","M4 Metrics & Settings","Backlog","P1","M","metrics"
"[EPIC] Hardening, testing, and OSS launch","Goal: Ship a stable first public release.\n\nScope:\n- Unit/integration/e2e coverage.\n- Packaging for desktop targets.\n- Release docs/changelog process.\n\nDone when:\n- Public v0.1.0 is documented, test-backed, and installable.","epic,area:release,priority:P0,size:L","M5 Hardening & OSS Launch","Backlog","P0","L","release"
"Add unit and integration test harness","Create baseline test coverage for API client and import logic.\n\nTasks:\n- Add fixtures for schema and data edge cases.\n- Ensure CI executes test matrix.\n\nAcceptance criteria:\n- Critical paths have automated coverage and regressions fail CI.","test,area:testing,priority:P0,size:M","M5 Hardening & OSS Launch","Backlog","P0","M","testing"
"Add end-to-end flows for auth/query/import","Automate top user workflows.\n\nTasks:\n- Cover auth, SQL execution, and SQLite import success/failure.\n- Run in CI with deterministic fixtures.\n\nAcceptance criteria:\n- E2E suite validates MVP user journeys.","test,area:testing,priority:P1,size:M","M5 Hardening & OSS Launch","Backlog","P1","M","testing"
"Desktop packaging and release automation","Prepare binaries and release pipeline.\n\nTasks:\n- Configure packaging for macOS/Windows/Linux.\n- Generate changelog and release notes.\n\nAcceptance criteria:\n- Tagged release produces distributable artifacts.","chore,area:release,priority:P0,size:M","M5 Hardening & OSS Launch","Backlog","P0","M","release"
"Launch docs and community triage workflow","Prepare open-source launch operations.\n\nTasks:\n- Publish roadmap, support policy, and issue triage rubric.\n- Add labels for `good first issue` and `help wanted`.\n\nAcceptance criteria:\n- New contributors can find starter tasks and report issues cleanly.","chore,area:docs,priority:P1,size:S","M5 Hardening & OSS Launch","Backlog","P1","S","docs"
